Using GPU 2
Start training: lr 0.010000, batch size 10
Checkpoint: ../checkpoints/
[1/41] 0), Loss: 0.715, mAP 13.34%
[1/41] 100), Loss: 0.111, mAP 65.37%
[1/41] 200), Loss: 0.106, mAP 71.63%
[1/41] 300), Loss: 0.164, mAP 80.31%
[1/41] 400), Loss: 0.092, mAP 79.99%
[1/41] 500), Loss: 0.147, mAP 83.31%
[1/41] 600), Loss: 0.073, mAP 84.87%
[1/41] 700), Loss: 0.098, mAP 87.54%
[1/41] 800), Loss: 0.070, mAP 86.16%
[1/41] 900), Loss: 0.055, mAP 86.47%
[1/41] 1000), Loss: 0.078, mAP 84.06%
[1/41] 1100), Loss: 0.106, mAP 88.49%
[1/41] 1200), Loss: 0.106, mAP 87.84%
Saved: ../checkpoints/
TESTING: 1203), mAP 89.34%
[2/41] 1300), Loss: 0.066, mAP 89.43%
[2/41] 1400), Loss: 0.106, mAP 90.03%
[2/41] 1500), Loss: 0.079, mAP 87.97%
[2/41] 1600), Loss: 0.057, mAP 88.41%
[2/41] 1700), Loss: 0.145, mAP 88.32%
[2/41] 1800), Loss: 0.048, mAP 89.34%
[2/41] 1900), Loss: 0.116, mAP 88.26%
[2/41] 2000), Loss: 0.109, mAP 90.98%
[2/41] 2100), Loss: 0.096, mAP 88.54%
[2/41] 2200), Loss: 0.058, mAP 90.61%
[2/41] 2300), Loss: 0.036, mAP 90.78%
[2/41] 2400), Loss: 0.083, mAP 90.78%
[3/41] 2500), Loss: 0.059, mAP 91.46%
[3/41] 2600), Loss: 0.122, mAP 89.61%
[3/41] 2700), Loss: 0.098, mAP 91.40%
[3/41] 2800), Loss: 0.068, mAP 91.70%
[3/41] 2900), Loss: 0.062, mAP 91.43%
[3/41] 3000), Loss: 0.095, mAP 89.10%
[3/41] 3100), Loss: 0.089, mAP 88.77%
[3/41] 3200), Loss: 0.116, mAP 88.20%
[3/41] 3300), Loss: 0.064, mAP 89.17%
[3/41] 3400), Loss: 0.093, mAP 89.61%
[3/41] 3500), Loss: 0.028, mAP 89.13%
[3/41] 3600), Loss: 0.164, mAP 91.36%
[4/41] 3700), Loss: 0.067, mAP 92.24%
[4/41] 3800), Loss: 0.069, mAP 93.37%
[4/41] 3900), Loss: 0.085, mAP 88.23%
[4/41] 4000), Loss: 0.090, mAP 92.93%
[4/41] 4100), Loss: 0.075, mAP 90.08%
[4/41] 4200), Loss: 0.088, mAP 91.82%
[4/41] 4300), Loss: 0.054, mAP 86.63%
[4/41] 4400), Loss: 0.057, mAP 91.58%
[4/41] 4500), Loss: 0.094, mAP 91.60%
[4/41] 4600), Loss: 0.029, mAP 92.47%
[4/41] 4700), Loss: 0.028, mAP 91.82%
[4/41] 4800), Loss: 0.099, mAP 90.92%
[5/41] 4900), Loss: 0.061, mAP 91.58%
[5/41] 5000), Loss: 0.045, mAP 91.46%
[5/41] 5100), Loss: 0.127, mAP 91.02%
[5/41] 5200), Loss: 0.042, mAP 92.96%
[5/41] 5300), Loss: 0.017, mAP 93.14%
[5/41] 5400), Loss: 0.056, mAP 91.44%
[5/41] 5500), Loss: 0.094, mAP 88.57%
[5/41] 5600), Loss: 0.053, mAP 91.70%
[5/41] 5700), Loss: 0.118, mAP 92.41%
[5/41] 5800), Loss: 0.055, mAP 92.37%
[5/41] 5900), Loss: 0.107, mAP 95.02%
[5/41] 6000), Loss: 0.080, mAP 90.73%
[6/41] 6100), Loss: 0.063, mAP 91.30%
[6/41] 6200), Loss: 0.054, mAP 91.37%
[6/41] 6300), Loss: 0.074, mAP 89.03%
[6/41] 6400), Loss: 0.104, mAP 90.06%
[6/41] 6500), Loss: 0.109, mAP 90.15%
[6/41] 6600), Loss: 0.137, mAP 89.27%
[6/41] 6700), Loss: 0.109, mAP 91.81%
[6/41] 6800), Loss: 0.040, mAP 93.30%
[6/41] 6900), Loss: 0.049, mAP 92.44%
[6/41] 7000), Loss: 0.092, mAP 89.85%
[6/41] 7100), Loss: 0.037, mAP 90.74%
[6/41] 7200), Loss: 0.059, mAP 92.06%
Saved: ../checkpoints/
TESTING: 7218), mAP 92.86%
[7/41] 7300), Loss: 0.162, mAP 90.65%
[7/41] 7400), Loss: 0.069, mAP 91.25%
[7/41] 7500), Loss: 0.037, mAP 92.93%
