nohup: ignoring input
Using GPU 2
Start training, lr: 0.001000, batch-size: 10
Model: resnet101
Checkpoint Path: ../checkpoints/
Time: 190514_1531
Training from past model: /home/tsinghuaee13/checkpoints/resnet101_190513_1753_036.pth
[1/41] 0), Loss: 0.048, mAP 97.00%
[1/41] 100), Loss: 0.081, mAP 90.54%
[1/41] 200), Loss: 0.116, mAP 91.71%
[1/41] 300), Loss: 0.067, mAP 93.69%
[1/41] 400), Loss: 0.107, mAP 93.57%
[1/41] 500), Loss: 0.041, mAP 95.70%
[1/41] 600), Loss: 0.172, mAP 91.26%
[1/41] 700), Loss: 0.050, mAP 93.25%
[1/41] 800), Loss: 0.060, mAP 93.90%
[1/41] 900), Loss: 0.097, mAP 94.71%
[1/41] 1000), Loss: 0.137, mAP 92.64%
[1/41] 1100), Loss: 0.122, mAP 92.92%
[1/41] 1200), Loss: 0.068, mAP 90.13%
Saved: ../checkpoints/
TESTING: 1203), mAP 93.31%
[2/41] 1300), Loss: 0.081, mAP 92.90%
[2/41] 1400), Loss: 0.066, mAP 92.86%
[2/41] 1500), Loss: 0.067, mAP 92.24%
[2/41] 1600), Loss: 0.086, mAP 91.79%
[2/41] 1700), Loss: 0.074, mAP 93.03%
[2/41] 1800), Loss: 0.066, mAP 92.29%
[2/41] 1900), Loss: 0.083, mAP 92.09%
[2/41] 2000), Loss: 0.041, mAP 93.44%
[2/41] 2100), Loss: 0.057, mAP 91.60%
[2/41] 2200), Loss: 0.047, mAP 94.38%
[2/41] 2300), Loss: 0.041, mAP 92.48%
[2/41] 2400), Loss: 0.090, mAP 93.87%
[3/41] 2500), Loss: 0.068, mAP 91.86%
[3/41] 2600), Loss: 0.072, mAP 90.35%
[3/41] 2700), Loss: 0.043, mAP 93.73%
[3/41] 2800), Loss: 0.061, mAP 93.09%
[3/41] 2900), Loss: 0.041, mAP 94.50%
[3/41] 3000), Loss: 0.036, mAP 90.52%
[3/41] 3100), Loss: 0.041, mAP 91.39%
[3/41] 3200), Loss: 0.059, mAP 94.28%
[3/41] 3300), Loss: 0.038, mAP 93.39%
[3/41] 3400), Loss: 0.058, mAP 92.73%
[3/41] 3500), Loss: 0.114, mAP 91.21%
[3/41] 3600), Loss: 0.033, mAP 94.85%
[4/41] 3700), Loss: 0.063, mAP 92.19%
[4/41] 3800), Loss: 0.029, mAP 92.38%
[4/41] 3900), Loss: 0.092, mAP 94.34%
[4/41] 4000), Loss: 0.025, mAP 92.32%
[4/41] 4100), Loss: 0.046, mAP 92.53%
[4/41] 4200), Loss: 0.102, mAP 92.27%
[4/41] 4300), Loss: 0.042, mAP 91.10%
